Generation,best,worst,mean
1,35.78,29.56,33.16
2,36.86,29.72,34.5
3,36.86,32.18,33.02
4,36.86,31.98,34.58
5,36.86,33.02,33.96
6,37.3,32.5,33.86
7,37.3,33.22,33.86
8,37.3,33.48,33.86
9,37.3,32.08,34.88
10,37.3,33.48,34.26
11,37.3,33.48,34.4
12,37.96,33.86,34.5
13,37.96,33.92,34.74
14,37.96,34.04,35.46
15,37.96,34,37.04
16,37.96,34.04,36.02
17,37.96,33.68,36.02
18,37.96,33.68,37.96
19,37.96,33.68,37.3
20,37.96,35.26,37.54
21,38.16,34.56,37.16
22,39.2,34.44,37.3
23,39.2,35.82,37.4
24,39.2,35.82,36.14
25,39.66,35.82,37.96
26,39.66,35.82,38.1
27,39.86,35.98,37.96
28,40.02,35.98,37.52
29,40.02,35.98,37.52
30,40.24,35.98,38.26
31,40.24,35.98,38.82
32,40.62,35.98,37.96
33,40.62,36.8,38.72
34,40.62,36.8,39.2
35,40.72,36.8,39.66
36,40.72,37.9,39.38
37,40.72,37.9,39.42
38,40.72,37.12,40.02
39,40.72,37.12,37.12
40,40.9,38.1,38.94
41,41.28,38.1,39.88
42,41.28,38.1,40.1
43,41.28,38.16,40.44
44,41.28,38.16,40.72
45,41.28,39,40.1
46,41.28,39.56,40.72
47,41.28,39.6,40.7
48,41.28,39.7,39.72
49,41.28,39.62,40.72
50,41.56,38.64,40.6
51,41.86,38.96,40.9
52,41.86,38.96,40.9
53,41.86,38.3,40.76
54,41.86,38.76,41.06
55,41.86,40.06,40.9
56,41.86,39.76,41.28
57,42.08,39.32,41.02
58,42.08,39.32,41.34
59,42.08,39.16,40.9
60,42.48,39.16,42.08
61,42.48,39.16,41.6
62,42.48,39.16,41.56
63,42.48,40.6,41.62
64,43.06,40.76,42.48
65,43.06,40.36,41.9
66,43.06,40.36,41.6
67,43.06,40.76,42.02
68,43.26,40.84,41.6
69,43.26,40.84,43.06
70,43.26,41.28,42.12
71,43.26,40.96,41.96
72,43.26,40.6,43.06
73,43.26,40.6,41.9
74,43.26,40.94,42.48
75,43.26,40.94,41.86
76,43.26,41.18,43.06
77,44.06,40.46,42.9
78,44.46,40.46,43.06
79,44.46,40.46,43.06
80,44.46,40.46,43.06
81,44.46,41.6,43.26
82,44.46,40.64,44.06
83,44.46,40.64,43.26
84,44.46,40.64,43.26
85,44.46,41.92,43.26
86,44.46,42.02,43.26
87,45.46,42.02,43.28
88,45.46,41.66,43.22
89,45.46,41.72,44.26
90,45.46,41.5,43.22
91,45.46,41.5,45.46
92,45.46,41.66,44.5
93,45.46,41.64,43.28
94,45.46,42.54,44.46
95,45.52,42.54,44.46
96,45.68,42.54,44.42
97,46.52,42.54,44.24
98,46.52,42.98,44.46
99,46.52,43.14,44.46
100,46.52,43.04,45.46
101,46.52,43.04,45.42
102,46.52,43.04,43.86
